ID,Name,Barcode,Purchase Price
547,بيتادين 120 نيل مطهر,6221077110919,64.0
266,بيتادين شامبو صغير,6221077085217,44.0
539,بيتادين شامبو كبير,6221077083916,72.0
388,بيتاسيرك 16مجم,8002660030108,164.25
384,بيتاسيرك 8مجم,8002660030078,121.6
380,بيتاسيرك24مجم 40 قرص,8002660026705,165.68
531,بيتافوس امبول,6221025019158,24.8
544,بيتاليرج اقراص,6224007738108,33.6
542,بيتولفكس امبول,6222003702659,45.44
540,بيدرو بخاخ منعش للفم,6224009442010,47.57
536,بيدرو سيرم,6224009442027,108.8
939,بيدرو شامبو لتساقط الشعر,4595656894988,85.0
420,بيديكال شراب,6224001026859,41.08
1522,بيديكال شراب,6224001026850,52.0
1204,بيرجاتون20مجم,6221050030272,36.0
545,بيرلوك 40مجم اقراص,6221076014232,54.75
381,بيزوكارد2.5مجم,6223002143061,38.76
385,بيزوكارد5مجم,6223002146062,44.73
386,بيزوكاردبلس5 مجم,6223002146079,44.73
260,بيسلفون شراب,6223003992194,28.0
829,بيفاتراسين بخاخ 150مللي,6224000588007,58.93
145,بيكتول استحلاب  برتقال,8411500101425,380.0
938,بيكوزيم محلول حقن,4659596955698,93.6
837,بيكولاكس نقط,6221032230157,19.2
534,بيلاستيجيك 2.5مجم شراب,6224008407560,41.04
538,بيليكول كبسول,6223000011331,23.04
1615,بينسيلونج حقن,6224000588878,14.22
1631,تارجو فلوكسين 750مجم,6223002143269,141.0
699,تاروليمس مرهم,6224000396701,94.16
668,تافاستين 500مجم اقراص,6221000001178,65.69
680,تافاسين750مجم اقراص,6221000001185,70.07
673,تافانيك 500مجم اقراص,6223003991340,140.15
1495,تامسولين اقراص,6223003570514,89.28
222,تانتم اخضر,6221032222275,19.22
940,تايمر قطره,4698858656889,52.14
223,تجريتول 200 عادى,6223002641710,71.2
224,تجريتول ممتد المفعول 200,6223002640416,48.8
678,تراى ليرج قطره لحساسيه العين,6224000219284,17.51
688,تراي تكت 2اطفال صابون,6224000437299,43.79
1647,تراي- بيتابرونات كريم,6222012400683,27.87
226,ترايتون 100 مجم,6223002143221,49.68
863,ترايتون 200 جرام اقراص,6223002143238,94.71
1518,ترايستارشو شراب,6224000879150,175.2
685,ترايكتين اقراص 4مجم,6221068004586,33.57
674,ترايكتين شراب,6221068404591,30.65
860,تربتيزول 25 جرام اقراص,6221068904619,23.1
229,ترنتال 400 ممتد المفعول,6223003991425,60.2
1176,تروسبامكسين 20 مجم اقراص,6223002454570,58.8
1561,تروفيك سيليكون جيل,4106632178541,117.0
1451,ترويا كير شامبوو 200 مل,4321776549871,144.3
1452,ترويا كير لوسيون 120 مل,4432098123487,148.2
669,تريامريكان 1جم حقنه عضل,6225000356924,40.87
684,تريبتزول 10مجم,6221068934609,21.89
676,تريتاس 1.25 مجم اقراص,6223003991517,32.11
675,تريتاس 2.5 مجم اقراص,6223003991548,39.41
677,تريتاس 5 مجم اقراص,6223003991579,55.47
691,تريتوسبوت 15جم كريم,6223002450770,27.73
1475,تريزمي بلسم 400 مل للشعر الكيرلي,6281006535060,150.0
288,تريفلوكان اقراص 150 مجم,6221032131539,19.88
1601,تكساكورت %0.1 كريم,6223003579821,16.06
666,تكنوفيولا 50مجم اقراص,6224008302155,51.09
693,تلفاست 180مجم اقراص,6223003991388,105.11
682,تلفاست شراب,6223003991715,36.49
230,تلفاست لحساسيه الانف,6223003991364,68.31
1184,تنيفلو كساسين مضاد بكتيرى,6224000908232,98.8
941,توبراداكس مرهم,4265359796478,27.62
911,توبرادكس  قطره,4885865654854,37.95
919,توبرو اكياس,4023658107459,94.89
665,توبرين قطره معقم للعين,6221032331250,16.78
1591,توبرين مرهم للعين,6221032340108,17.68
687,توبي جينت ديليكت غسول وجه,6224007384046,167.89
884,توسكان شراب,6221000001277,19.2
672,توسيستوب شراب للسعال,6223004048005,35.76
219,توسيفان,6221035003178,22.44
1489,تيراتيام 1000مجم اقراص,6223004691423,209.83
933,تيراميسين مرهم,4558974565484,26.0
692,تيربن كريم,6223002148387,12.04
220,تيرز جارد,6223005440082,22.8
681,تيكانيز بلس بخاخ,6221076160878,67.15
698,تيكانيز عادي بخاخ,6221076160175,51.09
679,تيليو ايزيس صغير,6223000470077,12.77
286,تيمولول %5,6221032331267,15.2
686,ثيروكسين 50م 100قرص,6223005981400,33.57
1629,ثيوتاسيد مركب 600 اقراص,6223007356718,191.9
1170,جابابنتين 600 مجم اقراص,6224008676447,70.58
491,جابتين 100مجم,6221163004139,53.46
664,جابتين 300 مجم اقراص,6221163004221,91.97
667,جابتين 400مجم اقراص,6221163007994,113.87
227,جابيماش 300مجم,6222001402087,67.26
609,جاراميسين كريم,6221050130057,15.84
730,جاراميسين كريم,6221050120027,14.3
1210,جارنييه غسول للوجه بالفيتامين سي و الليمون 100 م,3061376204239,60.75
1211,جارنييه غسول للوجه بالليمون,3061376204222,38.5
1638,جاروبرايد 50 مجم اقراص,6223002452576,47.25
216,جاست-ريج 100جم,6221025023834,49.68
217,جاست-ريج 200جم,6221025023841,57.46
283,جاسترازول 20جم,6221076020172,33.07
1181,جاستروتيدين امبول,6222006502386,43.0
225,جاسترولوك 40 مجم,6221051000205,51.35
724,جاستروموتيل 5مجم/5مللي شراب,6221032222657,15.6
690,جاستروموتيل اقراص,6221032251107,18.97
857,جافيسكون لحرقة المعده,5000158071896,230.4
