id,name,box_qty,strip_qty,box_purchase,strip_purchase,cost_box,cost_strip,cost_total
1362,انرتش شراب 100ملل,0,0,23.46,23.46,0.00,0.00,0.00
151,انريتش 50 م نقط فم,0,0,28.00,28.00,0.00,0.00,0.00
1682,انفكتوكيور 250/5مل شراب,0,0,106.38,106.38,0.00,0.00,0.00
147,انفكتوكيور 500ِ,0,1,117.00,58.50,0.00,58.50,58.50
2039,انفكتوميسين 500مجم اقراص,1,2,65.96,32.98,65.96,65.96,131.92
1463,انفينتي صن بلوك جيل,1,1,205.00,205.00,205.00,205.00,410.00
1354,انكل زولا,4,3,16.77,16.77,67.08,50.31,117.39
1172,انكونت 4مجم اقراص,1,4,92.64,30.88,92.64,123.52,216.16
1809,انماكس حقن شرجيه,1,1,30.24,30.24,30.24,30.24,60.48
735,انوفا 50مجم,1,1,17.55,17.55,17.55,17.55,35.10
2016,انوفوليك كبسول,0,0,159.30,53.10,0.00,0.00,0.00
865,او ار اسى  فوار,1,15,32.00,3.20,32.00,48.00,80.00
1780,او زد كريم 100مجم,0,0,56.00,56.00,0.00,0.00,0.00
2181,اواديليفو 500مجم اقراص,0,0,66.79,33.40,0.00,0.00,0.00
1833,اوبتك سالين قطره للعين,0,0,18.90,18.90,0.00,0.00,0.00
1189,اوبتيبرد قطره للعين,3,1,43.20,43.20,129.60,43.20,172.80
1187,اوبتيديكس-ت قطره,3,3,34.56,34.56,103.68,103.68,207.36
431,اوبلكس ان بلس لبوس,2,5,25.60,12.80,51.20,64.00,115.20
439,اوبلكس شراب,3,3,18.90,18.90,56.70,56.70,113.40
2214,اوبونوف اقراص,1,2,81.00,40.50,81.00,81.00,162.00
1111,اوتال قطره للاذن,2,2,13.94,13.94,27.88,27.88,55.76
433,اوتريفين اطفال,15,15,16.56,16.56,248.40,248.40,496.80
432,اوتريفين بيبي سالين,2,2,12.00,12.00,24.00,24.00,48.00
2324,اوتريفين بيبي سالين15ملي,5,5,15.00,15.00,75.00,75.00,150.00
1940,اوتريفين للاطفال نقط انف,2,0,17.42,17.42,34.84,0.00,34.84
