sale_id,sale_date,medicine,unit_type,quantity,unit_price,subtotal,profit,purchase_price,unit_cost,unit_profit
144,2025-07-10 13:05,امواس دوركو,BOX,1,20.00,20.00,9.00,11.00,11.00,9.00
145,2025-07-10 14:12,كحول اسبراى 70م,BOX,1,16.00,16.00,3.55,12.45,12.45,3.55
146,2025-07-10 16:53,كلاريتين للحساسيه,STRIP,1,55.00,55.00,13.75,82.50,41.25,13.75
147,2025-07-10 16:53,بيكتول استحلاب  برتقال,STRIP,1,25.00,25.00,9.17,380.00,15.83,9.17
148,2025-07-10 17:32,ديكساميثازون العمريه,STRIP,1,12.00,12.00,4.92,21.24,7.08,4.92
148,2025-07-10 17:32,كتافلام 3/75مجم حقن,STRIP,1,20.00,20.00,5.00,90.00,15.00,5.00
149,2025-07-10 17:33,سرنجات الدوليه 5سم,STRIP,1,2.50,2.50,2.49,1.49,0.01,2.49
150,2025-07-10 18:03,بانادول كولد ان فلو اقراص,BOX,1,76.00,76.00,27.36,48.64,48.64,27.36
151,2025-07-10 18:24,اوفيونهيبيتا اقراص,BOX,1,61.00,61.00,17.08,43.92,43.92,17.08
152,2025-07-10 18:36,ريفو اقراص,STRIP,1,7.05,7.05,1.76,105.75,5.29,1.76
153,2025-07-10 18:41,سبازموديجستين اقراص,BOX,1,78.00,78.00,28.08,49.92,49.92,28.08
153,2025-07-10 18:41,بانادول ادفانس,BOX,1,92.00,92.00,23.00,69.00,69.00,23.00
153,2025-07-10 18:41,بانثينول 30جم كريم نوفكس,BOX,1,33.00,33.00,8.92,24.08,24.08,8.92
153,2025-07-10 18:41,زنك-اوليف كريم,BOX,1,69.00,69.00,6.00,63.00,63.00,6.00
153,2025-07-10 18:41,انتودين 40مجم,BOX,1,93.00,93.00,24.73,68.27,68.27,24.73
153,2025-07-10 18:41,استارفيل غسول  ابيض 200ملل,BOX,1,145.00,145.00,49.00,96.00,96.00,49.00
153,2025-07-10 18:41,افوفا عجينه بيضا اصفر,BOX,1,32.00,32.00,9.25,22.75,22.75,9.25
153,2025-07-10 18:41,اكتوميثرين 5% 50مللي,BOX,1,55.00,55.00,19.25,35.75,35.75,19.25
153,2025-07-10 18:41,ليمت ليس ومان,BOX,1,240.00,240.00,48.00,192.00,192.00,48.00
153,2025-07-10 18:41,اوميجا 3بلس مكمل غذائى,BOX,1,135.00,135.00,25.00,110.00,110.00,25.00
153,2025-07-10 18:41,مزيل عرق ستارفيل بينك,BOX,1,130.00,130.00,34.25,95.75,95.75,34.25
153,2025-07-10 18:41,غسول ستارفيل,BOX,1,125.00,125.00,30.00,95.00,95.00,30.00
153,2025-07-10 18:41,قطن اذن كبير,BOX,1,15.00,15.00,5.75,9.25,9.25,5.75
153,2025-07-10 18:41,اميجران ادكو اقراص,BOX,1,93.00,93.00,18.60,74.40,74.40,18.60
153,2025-07-10 18:41,فلاجيل 500مجم اقراص,BOX,1,34.00,34.00,9.86,24.14,24.14,9.86
153,2025-07-10 18:41,ستارفيل بليه فانليا,BOX,1,110.00,110.00,15.00,95.00,95.00,15.00
154,2025-07-10 18:50,قطن اذن كبير,BOX,1,15.00,15.00,5.75,9.25,9.25,5.75
154,2025-07-10 18:50,خله اسنان,BOX,1,7.00,7.00,2.10,4.90,4.90,2.10
154,2025-07-10 18:50,زنك-اوليف كريم,BOX,1,69.00,69.00,6.00,63.00,63.00,6.00
154,2025-07-10 18:50,بانادول ادفانس,BOX,1,92.00,92.00,23.00,69.00,69.00,23.00
154,2025-07-10 18:50,بانتولوك 40مجم,BOX,1,102.00,102.00,34.68,67.32,67.32,34.68
154,2025-07-10 18:50,افيروثيازيد 12.5/5./40مجم,BOX,1,123.00,123.00,27.83,95.17,95.17,27.83
154,2025-07-10 18:50,بانثينول 15جم كريم,BOX,1,28.00,28.00,4.26,23.74,23.74,4.26
155,2025-07-10 18:55,فوليك اسيد 500مجم,BOX,1,20.00,20.00,5.40,14.60,14.60,5.40
155,2025-07-10 18:55,افوفا عجينه بيضا احمر,BOX,1,32.00,32.00,9.25,22.75,22.75,9.25
155,2025-07-10 18:55,زيت جونسن كبيرليلي,BOX,1,120.00,120.00,25.00,95.00,95.00,25.00
156,2025-07-10 18:56,فوليك اسيد 500مجم,BOX,3,20.00,60.00,16.20,14.60,14.60,5.40
157,2025-07-10 18:59,بودره ايفا قدم,BOX,1,40.00,40.00,8.00,32.00,32.00,8.00
158,2025-07-10 19:03,نيوروفيت اقراص,BOX,1,102.00,102.00,32.64,69.36,69.36,32.64
159,2025-07-10 19:12,برادوزين0.5مجم اقراص استحلاب,STRIP,1,17.00,17.00,5.80,22.40,11.20,5.80
159,2025-07-10 19:12,بانادول ادفانس,BOX,1,92.00,92.00,23.00,69.00,69.00,23.00
159,2025-07-10 19:12,فاستر جيل,BOX,1,32.00,32.00,2.00,30.00,30.00,2.00
159,2025-07-10 19:12,بانادول اكسترا احمر اقراص,STRIP,1,27.00,27.00,5.40,86.40,21.60,5.40
159,2025-07-10 19:12,ديمرا اقراص,STRIP,1,35.00,35.00,10.15,49.70,24.85,10.15
160,2025-07-10 19:16,معجون سينسوداين كبير,BOX,1,105.00,105.00,20.00,85.00,85.00,20.00
160,2025-07-10 19:16,بانادول اكسترا احمر اقراص,STRIP,1,27.00,27.00,5.40,86.40,21.60,5.40
160,2025-07-10 19:16,قطن اذن كبير,BOX,1,15.00,15.00,5.75,9.25,9.25,5.75
160,2025-07-10 19:16,خله اسنان,BOX,1,7.00,7.00,2.10,4.90,4.90,2.10
160,2025-07-10 19:16,نيفيا سوفت كريم 100,BOX,1,70.00,70.00,20.00,50.00,50.00,20.00
160,2025-07-10 19:16,مناديل زينه,BOX,1,28.00,28.00,4.50,23.50,23.50,4.50
